date,snowfall,emergency,minutes
11/01/2017,2.218687068,No Emergency,63.13641156
11/02/2017,4.519098714,Emergency,45.51860811
11/03/2017,5.12457075,Emergency,41.83612976
11/04/2017,1.301895694,No Emergency,51.25552386
11/05/2017,5.314225794,Emergency,37.5758887
11/06/2017,1.636324492,No Emergency,43.83926826
11/07/2017,4.722116045,Emergency,26.64151632
11/08/2017,1.974377208,No Emergency,35.73293118
11/09/2017,3.308924554,No Emergency,52.63903509
11/10/2017,2.756060306,No Emergency,62.95644075
11/11/2017,0.685750109,No Emergency,41.56877931
11/12/2017,0.593928253,No Emergency,30.4051056
11/13/2017,1.370369225,No Emergency,75.05910718
11/14/2017,0.27366429,No Emergency,43.61435447
11/15/2017,0.828076394,No Emergency,32.19721765
11/16/2017,0.98098706,No Emergency,53.86894031
11/17/2017,0.927972025,No Emergency,52.32800465
11/18/2017,1.996064934,No Emergency,42.78037278
11/19/2017,3.1598289,No Emergency,49.2095784
11/20/2017,2.849358299,No Emergency,61.72212424
11/21/2017,9.15720432,Emergency,48.70099554
11/22/2017,7.90784528,Emergency,31.83375905
11/23/2017,0.971240442,No Emergency,51.63523271
11/24/2017,1.940500007,No Emergency,38.94648515
11/25/2017,1.562444949,No Emergency,66.78056822
11/26/2017,3.666094013,No Emergency,37.63609384
11/27/2017,0.019751217,No Emergency,52.208286
11/28/2017,5.529108393,Emergency,44.70791324
11/29/2017,0.279496036,No Emergency,44.82701929
11/30/2017,3.088114325,No Emergency,36.75860933
12/01/2017,1.561750407,No Emergency,44.59506756
12/02/2017,0.121834575,No Emergency,41.02643745
12/03/2017,0.803939644,No Emergency,39.83486159
12/04/2017,2.382645161,No Emergency,36.50379777
12/05/2017,1.260447245,No Emergency,55.05776537
12/06/2017,2.747555904,No Emergency,44.61977575
12/07/2017,0.535256634,No Emergency,46.13395038
12/08/2017,3.678189563,No Emergency,49.71235271
12/09/2017,1.063911565,No Emergency,58.87869844
12/10/2017,0.445157369,No Emergency,59.99731863
12/11/2017,1.311689745,No Emergency,45.59172618
12/12/2017,3.233305812,No Emergency,40.65124104
12/13/2017,0.409921007,No Emergency,44.03510243
12/14/2017,0.230351204,No Emergency,54.6398606
12/15/2017,3.830065548,No Emergency,69.0650419
12/16/2017,0.996658703,No Emergency,47.17801852
12/17/2017,0.133560892,No Emergency,33.77909947
12/18/2017,2.472433091,No Emergency,47.77541347
12/19/2017,2.907973219,No Emergency,50.13687002
12/20/2017,2.717762576,No Emergency,53.20491654
12/21/2017,0.426577717,No Emergency,35.9606426
12/22/2017,0.293920889,No Emergency,37.95318788
12/23/2017,3.894758592,No Emergency,45.3995869
12/24/2017,0.710390109,No Emergency,62.57055389
12/25/2017,3.359867511,No Emergency,31.61201489
12/26/2017,2.946303794,No Emergency,53.88512989
12/27/2017,2.453119839,No Emergency,46.19380282
12/28/2017,0.684215352,No Emergency,65.15261715
12/29/2017,2.515916321,No Emergency,54.26709376
12/30/2017,4.370092223,Emergency,31.9333505
12/31/2017,2.995841776,No Emergency,59.83500841
01/01/2018,1.08319051,No Emergency,55.22043575
01/02/2018,0.942933385,No Emergency,45.3476183
01/03/2018,1.394494943,No Emergency,33.76079877
01/04/2018,1.787693335,No Emergency,54.16863961
01/05/2018,2.565186003,No Emergency,36.76585746
01/06/2018,1.550630365,No Emergency,34.28424132
01/07/2018,1.704326832,No Emergency,72.67416459
01/08/2018,0.905360667,No Emergency,30.61822786
01/09/2018,0.309442991,No Emergency,49.58082982
01/10/2018,3.122395279,No Emergency,47.28825553
01/11/2018,1.469885869,No Emergency,53.27720118
01/12/2018,6.587838051,Emergency,49.40692433
1/13/2018,0.20178278,No Emergency,53.46382017
1/14/2018,1.855202934,No Emergency,49.82225799
1/15/2018,0.031102671,No Emergency,49.77937474
1/16/2018,6.220752891,Emergency,42.02546727
1/17/2018,0.872191368,No Emergency,48.80545708
1/18/2018,1.235026593,No Emergency,35.54081532
1/19/2018,0.014786537,No Emergency,60.39391905
1/20/2018,2.958783959,No Emergency,49.26431141
1/21/2018,2.18405363,No Emergency,24.35854648
1/22/2018,2.390511736,No Emergency,58.96135938
1/23/2018,2.720546549,No Emergency,60.72084414
1/24/2018,5.898757242,Emergency,37.78485052
1/25/2018,0.555996848,No Emergency,50.15041524
1/26/2018,2.349724999,No Emergency,68.3848188
1/27/2018,0.278469518,No Emergency,56.73446932
1/28/2018,0.070848643,No Emergency,27.37870905
1/29/2018,0.167337039,No Emergency,63.66658047
1/30/2018,4.981992997,Emergency,24.99616181
1/31/2018,8.70787499,Emergency,39.25281137
02/01/2018,1.155541996,No Emergency,44.42359501
02/02/2018,4.909154767,Emergency,54.74623346
02/03/2018,2.698317017,No Emergency,45.78263113
02/04/2018,2.509259729,No Emergency,46.16878687
02/05/2018,1.933980028,No Emergency,36.10474435
02/06/2018,2.035517703,No Emergency,41.05804844
02/07/2018,1.796316089,No Emergency,58.40795482
02/08/2018,2.752108446,No Emergency,54.8976795
02/09/2018,1.378295932,No Emergency,61.64441461
02/10/2018,1.732273597,No Emergency,55.75648039
02/11/2018,1.867111288,No Emergency,34.24247347
02/12/2018,0.6355899,No Emergency,63.57731458
2/13/2018,1.309338638,No Emergency,51.76074262
2/14/2018,7.333716346,Emergency,45.67273465
2/15/2018,1.723417523,No Emergency,56.47743417
2/16/2018,6.749146846,Emergency,35.0111365
2/17/2018,0.047382509,No Emergency,35.92326444
2/18/2018,1.086886721,No Emergency,39.76807137
2/19/2018,2.27051397,No Emergency,38.38610716
2/20/2018,1.37338486,No Emergency,24.74991578
2/21/2018,2.027670799,No Emergency,41.49207575
2/22/2018,0.030365749,No Emergency,54.31336881
2/23/2018,3.508899717,No Emergency,43.45869773
2/24/2018,1.716494912,No Emergency,52.6757055
2/25/2018,0.77914542,No Emergency,41.40241626
2/26/2018,1.094209416,No Emergency,39.44508078
2/27/2018,4.391472371,Emergency,43.50864674
2/28/2018,0.008673417,No Emergency,55.34602894
11/01/2018,2.75841251,No Emergency,41.19266559
11/02/2018,1.105474262,No Emergency,53.79526785
11/03/2018,4.615618975,Emergency,47.72302703
11/04/2018,1.561193004,No Emergency,42.66759277
11/05/2018,1.882736926,No Emergency,50.38657114
11/06/2018,3.571847911,No Emergency,67.58791505
11/07/2018,3.934062165,No Emergency,55.22489584
11/08/2018,7.760054088,Emergency,55.85698831
11/09/2018,1.929038323,No Emergency,42.61374738
11/10/2018,3.040558953,No Emergency,58.88097712
11/11/2018,2.116868042,No Emergency,37.08080522
11/12/2018,1.252794345,No Emergency,50.68686204
11/13/2018,5.753321072,Emergency,54.95203849
11/14/2018,0.554158243,No Emergency,52.87560772
11/15/2018,0.27082091,No Emergency,51.06096402
11/16/2018,8.152373934,Emergency,37.47368635
11/17/2018,2.175495373,No Emergency,43.43320609
11/18/2018,1.417280386,No Emergency,73.57091903
11/19/2018,6.537139267,Emergency,51.61603309
11/20/2018,0.619250394,No Emergency,61.78201473
11/21/2018,0.585667367,No Emergency,35.50257718
11/22/2018,3.069978662,No Emergency,55.56113909
11/23/2018,0.859013041,No Emergency,35.02712016
11/24/2018,1.404356268,No Emergency,51.30478035
11/25/2018,0.983910925,No Emergency,59.82893412
11/26/2018,0.493069972,No Emergency,56.37992744
11/27/2018,2.84268314,No Emergency,59.32876804
11/28/2018,0.282330695,No Emergency,49.21541843
11/29/2018,2.946425857,No Emergency,38.3390228
11/30/2018,5.074781931,Emergency,37.74280066
12/01/2018,4.72330637,Emergency,27.03154203
12/02/2018,9.757241026,Emergency,51.49084028
12/03/2018,1.777473104,No Emergency,47.45466894
12/04/2018,0.172732295,No Emergency,43.33458045
12/05/2018,0.034744363,No Emergency,62.30826928
12/06/2018,6.571241044,Emergency,33.0107893
12/07/2018,2.213950544,No Emergency,41.02395056
12/08/2018,4.017732445,Emergency,40.50961952
12/09/2018,0.692212097,No Emergency,66.66905956
12/10/2018,2.71232655,No Emergency,27.2071732
12/11/2018,0.607746124,No Emergency,48.11083616
12/12/2018,0.599052217,No Emergency,49.46387051
12/13/2018,0.318911137,No Emergency,42.54500961
12/14/2018,4.38165382,Emergency,53.12687912
12/15/2018,4.001512168,Emergency,26.92667257
12/16/2018,2.235210315,No Emergency,48.6461786
12/17/2018,2.271173733,No Emergency,56.21371745
12/18/2018,4.827619386,Emergency,39.2710875
12/19/2018,0.624139533,No Emergency,28.22884276
12/20/2018,1.569912485,No Emergency,48.23803018
12/21/2018,2.970457833,No Emergency,42.92288913
12/22/2018,2.231492639,No Emergency,42.65039805
12/23/2018,1.77570794,No Emergency,37.05681101
12/24/2018,7.11493215,Emergency,75.51363862
12/25/2018,1.70436872,No Emergency,45.14886001
12/26/2018,5.68501454,Emergency,36.29912574
12/27/2018,4.733421787,Emergency,60.88627282
12/28/2018,2.210972935,No Emergency,51.88591281
12/29/2018,1.612034364,No Emergency,64.26150973
12/30/2018,3.454171017,No Emergency,48.40028361
12/31/2018,4.311133693,Emergency,33.79799089
01/01/2019,0.114007054,No Emergency,58.85678671
01/02/2019,4.337182303,Emergency,44.50781665
01/03/2019,2.483403801,No Emergency,46.22060098
01/04/2019,3.272496104,No Emergency,57.51364041
01/05/2019,5.279383859,Emergency,30.51732934
01/06/2019,2.726208339,No Emergency,41.9131788
01/07/2019,1.908248416,No Emergency,46.9371644
01/08/2019,0.862087133,No Emergency,43.73457873
01/09/2019,4.565572454,Emergency,29.61944729
01/10/2019,7.378984205,Emergency,44.35735343
01/11/2019,0.065167209,No Emergency,47.24544253
01/12/2019,0.051770195,No Emergency,51.25974291
1/13/2019,7.925136196,Emergency,35.21438332
1/14/2019,0.062713631,No Emergency,59.82607189
1/15/2019,0.732931053,No Emergency,67.60783493
1/16/2019,3.094026911,No Emergency,36.44240455
1/17/2019,0.893696725,No Emergency,40.93917894
1/18/2019,4.818806267,Emergency,64.92458558
1/19/2019,1.794134967,No Emergency,59.68075562
1/20/2019,3.456722184,No Emergency,50.90013007
1/21/2019,0.327824535,No Emergency,29.92555958
1/22/2019,0.079939751,No Emergency,58.29143867
1/23/2019,4.010555573,Emergency,44.16579428
1/24/2019,6.370164841,Emergency,22.60360353
1/25/2019,1.297509939,No Emergency,30.9598663
1/26/2019,0.444456787,No Emergency,32.04359077
1/27/2019,4.252130922,Emergency,41.36435396
1/28/2019,4.678312408,Emergency,25.0263016
1/29/2019,1.256152768,No Emergency,45.57599116
1/30/2019,1.085053749,No Emergency,36.0823971
1/31/2019,1.230032712,No Emergency,43.9546739
02/01/2019,2.46897356,No Emergency,45.53275095
02/02/2019,2.30929603,No Emergency,48.37311939
02/03/2019,1.855904304,No Emergency,59.95993272
02/04/2019,6.676479728,Emergency,40.20561183
02/05/2019,1.96820518,No Emergency,47.97742245
02/06/2019,2.315043732,No Emergency,54.04970225
02/07/2019,0.381922187,No Emergency,49.05020186
02/08/2019,3.051143207,No Emergency,42.90661098
02/09/2019,0.049255406,No Emergency,46.3650899
02/10/2019,2.333871479,No Emergency,65.42259562
02/11/2019,0.551196576,No Emergency,67.49696532
02/12/2019,2.989149526,No Emergency,50.09095513
2/13/2019,2.307302145,No Emergency,44.45890982
2/14/2019,2.114194022,No Emergency,53.81804488
2/15/2019,0.015154452,No Emergency,28.25676892
2/16/2019,0.858718451,No Emergency,47.70736132
2/17/2019,0.428151258,No Emergency,47.80324612
2/18/2019,4.607285522,Emergency,56.23487286
2/19/2019,3.029202462,No Emergency,54.62299002
2/20/2019,5.727368279,Emergency,35.12064264
2/21/2019,1.922029477,No Emergency,27.49079058
2/22/2019,2.974386801,No Emergency,44.59265661
2/23/2019,0.204233581,No Emergency,31.36212213
2/24/2019,0.33807912,No Emergency,46.55867093
2/25/2019,0.646328505,No Emergency,57.20966556
2/26/2019,4.187547431,Emergency,40.90579528
2/27/2019,8.388054954,Emergency,55.5826582
2/28/2019,2.702348691,No Emergency,57.28010552
11/01/2019,6.085022909,Emergency,39.53810106
11/02/2019,1.173114238,No Emergency,47.5909871
11/03/2019,0.006608963,No Emergency,54.65096688
11/04/2019,0.529370354,No Emergency,32.67148808
11/05/2019,0.194406324,No Emergency,44.73086337
11/06/2019,1.881813847,No Emergency,47.29609484
11/07/2019,5.682923163,Emergency,40.57126281
11/08/2019,0.355180515,No Emergency,56.35717695
11/09/2019,2.389635836,No Emergency,57.0318937
11/10/2019,4.583923112,Emergency,40.00507924
11/11/2019,2.845672053,No Emergency,35.7246917
11/12/2019,0.658151752,No Emergency,47.24768379
11/13/2019,1.682526443,No Emergency,55.71224716
11/14/2019,3.548878796,No Emergency,54.97333706
11/15/2019,1.087586294,No Emergency,56.97230649
11/16/2019,1.320257565,No Emergency,43.78763614
11/17/2019,2.119716539,No Emergency,52.14719315
11/18/2019,1.453540162,No Emergency,57.6610091
11/19/2019,4.469997221,Emergency,36.77350801
11/20/2019,0.310216499,No Emergency,44.82253955
11/21/2019,0.368341207,No Emergency,54.41615818
11/22/2019,1.067943607,No Emergency,21.71412851
11/23/2019,3.983794869,No Emergency,48.78003677
11/24/2019,0.604188511,No Emergency,46.77773638
11/25/2019,6.39868899,Emergency,35.08920949
11/26/2019,2.485777686,No Emergency,60.70314892
11/27/2019,0.789634656,No Emergency,56.61963927
11/28/2019,1.388144992,No Emergency,24.22876943
11/29/2019,1.058175215,No Emergency,44.62288148
11/30/2019,2.326239612,No Emergency,40.28640302
12/01/2019,1.905727623,No Emergency,27.86255095
12/02/2019,1.284154523,No Emergency,33.07664863
12/03/2019,2.719726883,No Emergency,47.97469978
12/04/2019,5.308360738,Emergency,51.04222096
12/05/2019,2.896242316,No Emergency,50.65419219
12/06/2019,0.625020064,No Emergency,48.76176252
12/07/2019,3.973990504,No Emergency,50.90128912
12/08/2019,2.277445707,No Emergency,58.20200306
12/09/2019,3.046891934,No Emergency,28.77709855
12/10/2019,1.19345402,No Emergency,47.39117079
12/11/2019,1.031129804,No Emergency,40.68844583
12/12/2019,2.431234295,No Emergency,45.00070857
12/13/2019,0.103114077,No Emergency,46.06022971
12/14/2019,3.102021596,No Emergency,64.66578658
12/15/2019,1.315093405,No Emergency,42.56148553
12/16/2019,2.520296084,No Emergency,50.99942883
12/17/2019,1.097673765,No Emergency,72.59255366
12/18/2019,0.2555816,No Emergency,30.3243736
12/19/2019,2.908042681,No Emergency,42.2082994
12/20/2019,5.716273604,Emergency,39.62813244
12/21/2019,0.373519151,No Emergency,50.55587654
12/22/2019,1.346746162,No Emergency,47.69281942
12/23/2019,3.063798759,No Emergency,41.5536583
12/24/2019,0.421923294,No Emergency,45.77116442
12/25/2019,6.020255717,Emergency,43.60476713
12/26/2019,1.730786779,No Emergency,40.2018822
12/27/2019,4.202062309,Emergency,52.815897
12/28/2019,0.269073248,No Emergency,47.80646775
12/29/2019,2.005603589,No Emergency,45.00772301
12/30/2019,0.077705359,No Emergency,35.71629237
12/31/2019,5.506677116,Emergency,37.0607611
01/01/2020,1.642121712,No Emergency,51.79951886
01/02/2020,1.882127056,No Emergency,49.49333345
01/03/2020,0.776036041,No Emergency,29.76485365
01/04/2020,1.101160664,No Emergency,43.1624716
01/05/2020,2.927560313,No Emergency,57.53187724
01/06/2020,0.231643476,No Emergency,60.23284877
01/07/2020,0.042437236,No Emergency,45.73532162
01/08/2020,2.157127637,No Emergency,52.75194329
01/09/2020,2.484267105,No Emergency,54.40382437
01/10/2020,0.566919226,No Emergency,44.84163986
01/11/2020,0.933587979,No Emergency,32.21306836
01/12/2020,0.729191558,No Emergency,36.75622788
1/13/2020,2.05569913,No Emergency,41.32894558
1/14/2020,3.950827283,No Emergency,60.34015468
1/15/2020,0.375897372,No Emergency,26.84752002
1/16/2020,1.310711632,No Emergency,48.40995883
1/17/2020,1.87231926,No Emergency,33.8958926
1/18/2020,1.812360345,No Emergency,67.01299642
1/19/2020,3.367770881,No Emergency,57.44770848
1/20/2020,3.77377481,No Emergency,47.07628653
1/21/2020,1.38429791,No Emergency,50.61156481
1/22/2020,2.108578394,No Emergency,45.64933015
1/23/2020,3.005552177,No Emergency,56.49137529
1/24/2020,1.851395088,No Emergency,41.38351676
1/25/2020,0.365204145,No Emergency,57.82815304
1/26/2020,0.623155419,No Emergency,48.66226159
1/27/2020,0.629504709,No Emergency,52.30025876
1/28/2020,7.542130234,Emergency,58.74320279
1/29/2020,2.084965242,No Emergency,32.17926529
1/30/2020,1.321032056,No Emergency,67.47886438
1/31/2020,1.051000515,No Emergency,56.8933058
02/01/2020,1.487496874,No Emergency,48.07307883
02/02/2020,0.526253949,No Emergency,38.30216781
02/03/2020,0.309370827,No Emergency,51.07522269
02/04/2020,2.182236964,No Emergency,49.95356021
02/05/2020,4.040462918,Emergency,46.08308378
02/06/2020,2.047918916,No Emergency,47.41913467
02/07/2020,0.173453699,No Emergency,46.14713775
02/08/2020,0.609983857,No Emergency,41.66124357
02/09/2020,0.682206816,No Emergency,55.66565191
02/10/2020,4.204318007,Emergency,41.76610178
02/11/2020,6.211137253,Emergency,54.56313289
02/12/2020,2.130556176,No Emergency,58.0093676
2/13/2020,1.202645753,No Emergency,41.53308005
2/14/2020,0.148013437,No Emergency,32.30785957
2/15/2020,2.686185174,No Emergency,57.7059241
2/16/2020,0.133026244,No Emergency,53.20453848
2/17/2020,0.911142798,No Emergency,53.34601453
2/18/2020,1.576351348,No Emergency,41.95481299
2/19/2020,2.803535201,No Emergency,53.72322298
2/20/2020,0.992435326,No Emergency,41.91335747
2/21/2020,4.680051097,Emergency,19.23754187
2/22/2020,0.592072053,No Emergency,58.84487744
2/23/2020,1.194245133,No Emergency,54.40600672
2/24/2020,2.710724357,No Emergency,52.86043765
2/25/2020,0.317073291,No Emergency,46.81770196
2/26/2020,1.401048377,No Emergency,34.79184148
2/27/2020,5.148669388,Emergency,48.19671102
2/28/2020,0.54171657,No Emergency,34.55922206
2/29/2020,4.791447222,Emergency,45.76039335